 A=0000000000000000000000000000000000000000000000000000000000000101 | B=                  10 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000001 
 A=1111111111111111111111111111111111111111111111111111111111111111 | B=                   1 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000001 
 A=0000000000000000000000000000000000000000000000000000000000000001 | B=                  -1 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000000 
 A=0000000000000000000000000000000000000000000000000000000000000000 | B=                   1 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000001 
 A=1111111111111111111111111111111111111111111111111111111111111111 | B=                   1 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000001 
 A=0000000000000000000000000000000000000000000000000000000000000001 | B=                  -1 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000000 
 A=1000000000000000000000000000000000000000000000000000000000000000 | B=                   1 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000001 
 A=0111111111111111111111111111111111111111111111111111111111111111 | B=                  -1 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000000 
 A=1000000000000000000000000000000000000000000000000000000000000000 | B= 9223372036854775807 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000001 
 A=1111111111111111111111111111111111111111111111111111111111111111 | B=                  -2 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000000 
 A=1111111111111111111111111111111111111111111111111111111111111111 | B=                  -1 | ALU_OP=0010 | Result=0000000000000000000000000000000000000000000000000000000000000000
